*M	821	70867	0.0116
*D	6437	70867	0.0908
*E	6173	70867	0.0871
*F	2591	70867	0.0366
*A	7621	70867	0.1075
*L	6902	70867	0.0974
*I	2140	70867	0.0302
*V	5141	70867	0.0725
*P	3804	70867	0.0537
*W	922	70867	0.013
*T	4447	70867	0.0628
*Q	1335	70867	0.0188
*S	4336	70867	0.0612
*H	1426	70867	0.0201
*R	6094	70867	0.086
*G	5405	70867	0.0763
*K	897	70867	0.0127
*C	820	70867	0.0116
*Y	2199	70867	0.031
*N	1356	70867	0.0191
